id,name,description,image,sector_id,rubro_id,created_at,updated_at
1,"                         ",NULL,NULL,1,23,NULL,NULL
2,"ACCESORIOS MAQUIN-IVA.21%",NULL,NULL,1,10,NULL,NULL
3,"ACCESORIOS VS.PAN/REPOST.",NULL,NULL,1,5,NULL,NULL
4,"ADITIVOS                 ",NULL,NULL,1,101,NULL,NULL
5,"ARTICULOS MADERA / MIMBRE",NULL,NULL,1,6,NULL,NULL
6,"AZUCARES Y SALES         ",NULL,NULL,1,11,NULL,NULL
7,"CEREALES Y ALMIDON       ",NULL,NULL,1,18,NULL,NULL
8,"CHOCOLATES Y CACAO       ",NULL,NULL,1,17,NULL,NULL
9,"COOPER                   ",NULL,NULL,1,22,NULL,NULL
10,"CREMAS                   ",NULL,NULL,1,105,NULL,NULL
11,"DESCARTABLES             ",NULL,NULL,1,106,NULL,NULL
12,DESCARTABLES:MOLDES/PIROT,NULL,NULL,1,3,NULL,NULL
13,"DULCES Y MERMELADAS      ",NULL,NULL,1,37,NULL,NULL
14,"EMULSIF./MEJORAD./ VARIOS",NULL,NULL,1,14,NULL,NULL
15,"EMULSIONANTES Y CONSERVAN",NULL,NULL,1,108,NULL,NULL
16,EQUIP.PANADERIA/GASTRONOM,NULL,NULL,1,19,NULL,NULL
17,"ESENCIAS Y COLORANTES    ",NULL,NULL,1,12,NULL,NULL
18,"ESPECIAS Y SEMILLAS      ",NULL,NULL,1,16,NULL,NULL
19,"FRUTAS                   ",NULL,NULL,1,15,NULL,NULL
20,"GRASAS                   ",NULL,NULL,1,112,NULL,NULL
21,"HARINAS DE TRIGO         ",NULL,NULL,1,113,NULL,NULL
22,"ILUSTRACIONES /RECETARIOS",NULL,NULL,1,1,NULL,NULL
23,"JALEA                    ",NULL,NULL,1,114,NULL,NULL
24,"LEVADURA                 ",NULL,NULL,1,115,NULL,NULL
25,"LINEA CALOR 21%          ",NULL,NULL,1,20,NULL,NULL
26,"LINEA HOGAR              ",NULL,NULL,1,2,NULL,NULL
27,"MAQ.PANAD.Y GASTR-IVA 21%",NULL,NULL,1,9,NULL,NULL
28,"MAQUINARIAS              ",NULL,NULL,1,8,NULL,NULL
29,"MARGARINAS ESPECIALES    ",NULL,NULL,1,117,NULL,NULL
30,"MARGARINAS HOJALDRE      ",NULL,NULL,1,118,NULL,NULL
31,"MARGARINAS MASAS         ",NULL,NULL,1,119,NULL,NULL
32,"METAL:BANDEJAS-MOLDES    ",NULL,NULL,1,4,NULL,NULL
33,"OTROS                    ",NULL,NULL,1,120,NULL,NULL
34,"POLVOS PARA HORNEAR      ",NULL,NULL,1,121,NULL,NULL
35,"PREMEZCLAS               ",NULL,NULL,1,122,NULL,NULL
36,"REPOSTERIA               ",NULL,NULL,1,13,NULL,NULL
37,"ROPA Y UTENSILIO         ",NULL,NULL,1,124,NULL,NULL
38,"Rubro         24         ",NULL,NULL,1,24,NULL,NULL
39,"Rubro         25         ",NULL,NULL,1,25,NULL,NULL
40,"Rubro         26         ",NULL,NULL,1,26,NULL,NULL
41,"Rubro        999         ",NULL,NULL,1,999,NULL,NULL
42,"SALSAS                   ",NULL,NULL,1,125,NULL,NULL
43,"SALVADO                  ",NULL,NULL,1,126,NULL,NULL
44,"SILICONA: MOLDES/PLACAS  ",NULL,NULL,1,21,NULL,NULL
45,"UTILES REPOST. ARTESANAL ",NULL,NULL,1,7,NULL,NULL
46,"VTAS.ESPECIALES          ",NULL,NULL,1,100,NULL,NULL
47,"ACCESORIOS MAQUIN-IVA.21%",NULL,NULL,2,10,NULL,NULL
48,"ACCESORIOS VS.PAN/REPOST.",NULL,NULL,2,5,NULL,NULL
49,"ACEITES                  ",NULL,NULL,2,1000,NULL,NULL
50,"ADITIVOS                 ",NULL,NULL,2,101,NULL,NULL
51,"ARTICULOS MADERA / MIMBRE",NULL,NULL,2,6,NULL,NULL
52,"AZUCARES Y SALES         ",NULL,NULL,2,11,NULL,NULL
53,"CEREALES Y ALMIDON       ",NULL,NULL,2,18,NULL,NULL
54,"CHOCOLATES Y CACAO       ",NULL,NULL,2,17,NULL,NULL
55,"COOPER                   ",NULL,NULL,2,22,NULL,NULL
56,"CREMAS                   ",NULL,NULL,2,105,NULL,NULL
57,"CRUDOS                   ",NULL,NULL,2,23,NULL,NULL
58,"DELICATESSEN             ",NULL,NULL,2,1001,NULL,NULL
59,"DESCARTABLES             ",NULL,NULL,2,106,NULL,NULL
60,DESCARTABLES:MOLDES/PIROT,NULL,NULL,2,3,NULL,NULL
61,"DULCES Y MERMELADAS      ",NULL,NULL,2,37,NULL,NULL
62,"EMULSIF./MEJORAD./ VARIOS",NULL,NULL,2,14,NULL,NULL
63,"EMULSIONANTES Y CONSERVAN",NULL,NULL,2,108,NULL,NULL
64,EQUIP.PANADERIA/GASTRONOM,NULL,NULL,2,19,NULL,NULL
65,"ESENCIAS Y COLORANTES    ",NULL,NULL,2,12,NULL,NULL
66,"ESPECIAS Y SEMILLAS      ",NULL,NULL,2,16,NULL,NULL
67,"FIAMBRES                 ",NULL,NULL,2,24,NULL,NULL
68,"FLETE A DEFINIR          ",NULL,NULL,2,138,NULL,NULL
69,"FLETES                   ",NULL,NULL,2,137,NULL,NULL
70,"FRUTAS                   ",NULL,NULL,2,15,NULL,NULL
71,"GRASAS                   ",NULL,NULL,2,112,NULL,NULL
72,"HARINAS DE TRIGO         ",NULL,NULL,2,113,NULL,NULL
73,"ILUSTRACIONES /RECETARIOS",NULL,NULL,2,1,NULL,NULL
74,"JALEA                    ",NULL,NULL,2,114,NULL,NULL
75,"JAMONES                  ",NULL,NULL,2,25,NULL,NULL
76,"LACTEOS                  ",NULL,NULL,2,135,NULL,NULL
77,"LEVADURA                 ",NULL,NULL,2,115,NULL,NULL
78,"LINEA CALOR 21%          ",NULL,NULL,2,20,NULL,NULL
79,"LINEA HOGAR              ",NULL,NULL,2,2,NULL,NULL
80,"MANTECAS Y MARGARINAS    ",NULL,NULL,2,26,NULL,NULL
81,"MAQ.PANAD.Y GASTR-IVA 21%",NULL,NULL,2,9,NULL,NULL
82,"MAQUINARIAS              ",NULL,NULL,2,8,NULL,NULL
83,"MARGARINAS ESPECIALES    ",NULL,NULL,2,117,NULL,NULL
84,"MARGARINAS HOJALDRE      ",NULL,NULL,2,118,NULL,NULL
85,"MARGARINAS MASAS         ",NULL,NULL,2,119,NULL,NULL
86,"METAL:BANDEJAS-MOLDES    ",NULL,NULL,2,4,NULL,NULL
87,"MORTALEDA                ",NULL,NULL,2,127,NULL,NULL
88,"OTROS                    ",NULL,NULL,2,120,NULL,NULL
89,"PALETA                   ",NULL,NULL,2,128,NULL,NULL
90,"PANADERIAS               ",NULL,NULL,2,136,NULL,NULL
91,"POLVOS PARA HORNEAR      ",NULL,NULL,2,121,NULL,NULL
92,"PREMEZCLAS               ",NULL,NULL,2,122,NULL,NULL
93,"QUESOS BLANDOS           ",NULL,NULL,2,129,NULL,NULL
94,"QUESOS DUROS             ",NULL,NULL,2,130,NULL,NULL
95,"QUESOS SEMIDUROS         ",NULL,NULL,2,131,NULL,NULL
96,"REPOSTERIA               ",NULL,NULL,2,13,NULL,NULL
97,"ROPA Y UTENSILIO         ",NULL,NULL,2,124,NULL,NULL
98,"Rubro        999         ",NULL,NULL,2,999,NULL,NULL
99,"SALAMES                  ",NULL,NULL,2,132,NULL,NULL
100,"SALCHICHAS               ",NULL,NULL,2,133,NULL,NULL
101,"SALSAS                   ",NULL,NULL,2,125,NULL,NULL
102,"SALVADO                  ",NULL,NULL,2,126,NULL,NULL
103,"SILICONA: MOLDES/PLACAS  ",NULL,NULL,2,21,NULL,NULL
104,"SUSHI                    ",NULL,NULL,2,1002,NULL,NULL
105,"UNTABLES                 ",NULL,NULL,2,134,NULL,NULL
106,"UTILES REPOST. ARTESANAL ",NULL,NULL,2,7,NULL,NULL
107,"VTAS.ESPECIALES          ",NULL,NULL,2,100,NULL,NULL
